,eof,ct_b,ct_string,ct_float,ct_int,comma,id,c_brckt,o_brckt,return,break,continue,opr_atr,idt_int,c_c_brckt,o_c_brckt,for,while,else,if,vec_in,oprlr_rel,ct_true,ct_false,oprlr_and,oprlr_or,oprl_not,opr_dm,opr_pm,idt_bool,idt_float,idt_string,idt_char,idt_void,const,eof
EXPR_NUM_G,,,,EXPR_NUM_G=ct_float,EXPR_NUM_G=ct_int,,EXPR_NUM_G=ID_OR_VEC,,EXPR_NUM_G=o_brckt EXPR_NUM c_brckt,,,,,,,,,,,,,,,,,,,,,,,,,,,
EXPR_BOOL,,,,EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H,EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H,,EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H,,EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H,,,,,,,,,,,,,,EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H,EXPR_BOOL=EXPR_BOOL_T EXPR_BOOL_H,,,EXPR_BOOL=oprl_not EXPR_BOOL_T EXPR_BOOL_H,,,,,,,,,
EXPR_BOOL_H,,,,,,,,EXPR_BOOL_H=epsilon,EXPR_BOOL_H=epsilon,,,,,,,,,,,,,,,,,EXPR_BOOL_H=oprlr_or EXPR_BOOL_T EXPR_BOOL_H,,,,,,,,,,
EXPR_BOOL_T,,,,EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH,EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH,,EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH,,EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH,,,,,,,,,,,,,,EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH,EXPR_BOOL_T=EXPR_BOOL_F EXPR_BOOL_TH,,,,,,,,,,,,
EXPR_BOOL_TH,,,,,,,,EXPR_BOOL_TH=epsilon,EXPR_BOOL_TH=epsilon,,,,,,,,,,,,,,,,EXPR_BOOL_TH=oprlr_and EXPR_BOOL_F EXPR_BOOL_TH,EXPR_BOOL_TH=epsilon,,,,,,,,,,
EXPR_BOOL_F,,,,EXPR_BOOL_F=ct_float OPRLR_EQQ_REL EXPR_NUM,EXPR_BOOL_F=ct_int OPRLR_EQQ_REL EXPR_NUM,,EXPR_BOOL_F=FN_H_BOOL OPRLR_EQQ_REL EXPR_NUM,,EXPR_BOOL_F=o_brckt EXPR_BOOL c_brckt,,,,,,,,,,,,,,EXPR_BOOL_F=ct_true,EXPR_BOOL_F=ct_false,,,,,,,,,,,,
OPRLR_EQQ_REL,,,,,,,,,,,,,OPRLR_EQQ_REL=opr_atr opr_atr,,,,,,,,,OPRLR_EQQ_REL=oprlr_rel,,,,,,,,,,,,,,
FN_H_BOOL,,,,,,,FN_H_BOOL=id FN_H_BOOL_V,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FN_H_BOOL_V,,,,,,,,,FN_H_BOOL_V=FN_CH,,,,FN_H_BOOL_V=epsilon,,,,,,,,FN_H_BOOL_V=vec_in EXPR_NUM,FN_H_BOOL_V=epsilon,,,,,,,,,,,,,,
ALL_ITER,,,,,,,ALL_ITER=FCALL_OR_ATRIB ALL_ITER,,,ALL_ITER=ITER_CTRL ALL_ITER,ALL_ITER=ITER_CTRL ALL_ITER,ALL_ITER=ITER_CTRL ALL_ITER,,ALL_ITER=VAR_DCLR ALL_ITER,ALL_ITER=epsilon,,ALL_ITER=ITER_FOR ALL_ITER,ALL_ITER=ITER_WHILE ALL_ITER,,ALL_ITER=ITER_IF ALL_ITER,,,,,,,,,,ALL_ITER=VAR_DCLR ALL_ITER,ALL_ITER=VAR_DCLR ALL_ITER,ALL_ITER=VAR_DCLR ALL_ITER,ALL_ITER=VAR_DCLR ALL_ITER,,,
