entrada,Pilha,Regra
=    ,[:ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ATRIB=opr_atr EXPR_NUM
j    ,[:EXPR_NUM،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
j    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT,EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
j    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_IT,EXPR_NUM_G=ID_OR_VEC
j    ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITE,ID_OR_VEC=id VEC_INDX
-    ,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER,VEC_INDX=epsilon
-    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCK,EXPR_NUM_KH=epsilon
-    ,[:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=opr_pm EXPR_NUM
h    ,[:EXPR_NUM،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
h    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT,EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
h    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_IT,EXPR_NUM_G=ID_OR_VEC
h    ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITE,ID_OR_VEC=id VEC_INDX
}    ,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER,VEC_INDX=epsilon
}    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCK,EXPR_NUM_KH=epsilon
}    ,[:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=epsilon
}    ,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=epsilon
}    ,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=epsilon
nums ,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=FCALL_OR_ATRIB ALL_ITER
nums ,[:FCALL_OR_ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB=ID_OR_VEC FCALL_OR_ATRIB_F
nums ,[:ID_OR_VEC،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
::   ,[:VEC_INDX،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=vec_in VEC_INDX_F
j    ,[:VEC_INDX_F،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX_F=INT_OR_ID
j    ,[:INT_OR_ID،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],INT_OR_ID=id
=    ,[:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB_F=ATRIB
=    ,[:ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ATRIB=opr_atr EXPR_NUM
c    ,[:EXPR_NUM،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
c    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
c    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_G=ID_OR_VEC
c    ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
}    ,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
}    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=epsilon
}    ,[:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=epsilon
}    ,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=epsilon
h    ,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=FCALL_OR_ATRIB ALL_ITER
h    ,[:FCALL_OR_ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB=ID_OR_VEC FCALL_OR_ATRIB_F
h    ,[:ID_OR_VEC،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
=    ,[:VEC_INDX،:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
=    ,[:FCALL_OR_ATRIB_F،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],FCALL_OR_ATRIB_F=ATRIB
=    ,[:ATRIB،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ATRIB=opr_atr EXPR_NUM
h    ,[:EXPR_NUM،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM=EXPR_NUM_K EXPR_NUM_KR
h    ,[:EXPR_NUM_K،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_K=EXPR_NUM_G EXPR_NUM_KH
h    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_G=ID_OR_VEC
h    ,[:ID_OR_VEC،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
/    ,[:VEC_INDX،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
/    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=opr_dm EXPR_NUM_G EXPR_NUM_KH
2    ,[:EXPR_NUM_G،:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_G=ct_int
}    ,[:EXPR_NUM_KH،:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KH=epsilon
}    ,[:EXPR_NUM_KR،:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],EXPR_NUM_KR=epsilon
}    ,[:ALL_ITER،:C_C_BRCKT،:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=epsilon
return,[:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=ITER_CTRL ALL_ITER
return,[:ITER_CTRL،:ALL_ITER،:C_C_BRCKT،:S],ITER_CTRL=return DATA
nums ,[:DATA،:ALL_ITER،:C_C_BRCKT،:S],DATA=ID_OR_VEC
nums ,[:ID_OR_VEC،:ALL_ITER،:C_C_BRCKT،:S],ID_OR_VEC=id VEC_INDX
}    ,[:VEC_INDX،:ALL_ITER،:C_C_BRCKT،:S],VEC_INDX=epsilon
}    ,[:ALL_ITER،:C_C_BRCKT،:S],ALL_ITER=epsilon
